latintext	translation
obrepit dies, ut uides (mihi enim a.	Eu queria, portanto, se já estás em Roma ou quando estiveres, que me mandasses um quadro de toda a república que venha ao meu encontro e a partir dela eu possa modelar e planejar com que espírito aproximarei da cidade;
d.	pois é alguma coisa que quem chega não seja estrangeiro ou hóspede.
III Kal.	5 E o que quase deixei passar, fiz de tudo por teu Bruto, como muitas vezes te escrevi.
Sext.	Os cíprios estão pagando;
de prouincia decedendum est), nec succeditur.	mas Escápcio não ficou contente com doze por cento de juro acumulado a cada ano.
Quem relinquam qui prouinciae praesit?	Ariobarzanes não é mais liberal com Pompeu por seu próprio interesse do que pelo meu com Bruto.
Ratio quidem et opinio hominum postulat fratrem, primum quod uidetur esse honos, nemo igitur potior;	Eu, contudo, não posso ser fiador dele;
deinde quod solum habeo praetorium.	pois o rei está muito pobre e eu estou tão longe dele que eu nada posso a não ser por cartas, com as quais não deixo de lutar.
Pomptinus enim ex pacto et conuento (nam ea lege exierat) iam a me discesserat.	Em suma é isto:
Quaestorem nemo dignum putat;	à proporção do dinheiro, Bruto é tratado com mais generosidade do Pompeu.
etenim est leuis, libidinosus, tagax.	A Bruto foram pagos este ano cerca de 100 talentos, a Pompeu foram prometidos 200 para dentro de seis meses.
2 De fratre autem primum illud est:	Agora, no caso de Ápio, mal pode ser dito o quanto eu concedi a Bruto.
persuaderi ei non posse arbitror;	Por que então me angustiar?
odit enim prouinciam, et hercule nihil odiosius, nihil molestius.	Ele tem por amigos meras nulidades, Matínio, Escápcio;
Deinde ut mihi nolit negare, quidnam mei sit offici?	e este, porque não obteve de mim tropas de cavaleiros com as quais acometeria Chipre, como tinha feito antes de mim, talvez esteja irritado, ou porque não é prefeito, posto que não concedi a nenhum comerciante (nem a Caio Venônio, meu amigo íntimo, nem ao teu, Marco Lênio), e eu tinha te mostrado em Roma que iria manter isso;
Cum bellum esse in Syria magnum putetur, id uideatur in hanc prouinciam erupturum, hic praesidi nihil sit, sumptus annuus decretus sit, uideaturne aut pietatis esse meae fratrem relinquere aut diligentiae nugarum aliquid relinquere?	e nisso eu fiquei firme.
Magna igitur, ut uides, sollicitudine adficior, magna inopia consili.	Mas de que poderá se queixar quem não quis tomar seu dinheiro quando podia?
Quid quaeris?	†Escápcio†, que estava na Capadócia, acho que está satisfeito.
Toto negotio nobis opus non fuit.	Tendo ele recebido de mim o tribunato, que eu lhe tinha oferecido por recomendação de uma carta de Bruto, escreveu-me posteriormente que não queria desfrutar desse tribunato.
Quanto tua prouincia melior!	6 Há um tal Gávio, que, depois de eu lhe ter oferecido uma prefeitura a pedido de Bruto, não só disse como fez muitas coisas com algum insulto a mim, um cão de Públio Clódio.
Decedes cum uoles, nisi forte iam decessisti;	Ele não me escoltou quando parti de Apameia nem, quando veio posteriormente ao acampamento e dali se foi, perguntou se eu queria alguma coisa e não sei por que motivo foi claramente não amigo meu.
quem uidebitur praeficies Thesprotiae et Chaoniae.	Se eu o tivesse entre os prefeitos, que homem tu me julgarias?
Necdum tamen ego Quintum conueneram, ut iam si id placeret scirem possetne ab eo impetrari;	Eu, que, como sabes, nunca tolerei a altivez dos homens mais poderosos, iria tolerar a desse lacaio?
nec tamen, si posset, quid uellem habebam.	Ainda que isto seja mais que tolerar, conceder até mesmo algum benefício e honra.
Hoc est igitur eius modi.	Esse Gávio, portanto, como, quando partia para Roma, me tivesse visto recentemente em Apameia, me abordou de um tal modo como eu dificilmente ousaria abordar Culeolo:
3 Reliqua plena adhuc et laudis et gratiae, digna iis libris quos dilaudas:	“De onde” diz ele “me ordenas procurar a comida do prefeito?”
conseruatae ciuitates, cumulate publicanis satis factum;	Respondi, de um modo mais brando do que consideravam ser conveniente os que estavam presentes, que eu não tinha instituído dar comida àqueles cujo serviço eu não tinha utilizado.
offensus contumelia nemo, decreto iusto et seuero perpauci, nec tamen quisquam ut queri audeat;	Foi embora irado.
res gestae dignae triumpho, de quo ipso nihil cupide agemus, sine tuo quidem consilio certe nihil.	7 Se Bruto pode se deixar levar pelo discurso desse patife, será lícito que tu o estimes sozinho, não me terás como rival.
Clausula est difficilis in tradenda prouincia;	Mas acho que ele será aquele que deve ser;
sed haec deus aliquis gubernabit.	contudo, eu quis que a questão fosse conhecida de ti e a ele próprio escrevi muito detalhadamente essas coisas.
4 De urbanis rebus scilicet plura tu scis, saepius et certiora audis;	Absolutamente nunca (pois estamos entre nós) Bruto me enviou uma carta, nem mesmo mais recentemente acerca de Ápio, na qual não haja algo arrogante e sem sentido comum.
equidem doleo non me tuis litteris certiorem fieri.	Tu, porém, costumas ter com frequência na boca:
Huc enim odiosa adferebantur de Curione, de Paulo;	“Mas Grânio não se menospreza e odeia os reis soberbos.”
non quo ullum periculum uideam stante Pompeio uel etiam sedente, ualeat modo;	Nisso, contudo, ele costuma provocar em mim mais riso do que raiva;
sed mehercule Curionis et Pauli, meorum familiarium, uicem doleo.	mas claramente pensa pouco o que escreve ou a quem.
Formam igitur mihi totius rei publicae, si iam es Romae aut cum eris, uelim mittas quae mihi obuiam ueniat, ex qua me fingere possim et praemeditari quo animo accedam ad urbem;	8 O menino Quinto Cícero leu, conforme opino, e com certeza, a carta escrita para o pai dele;
est enim quiddam aduenientem non esse peregrinum atque hospitem.	pois costuma abri-las, e isso por conselho meu, se por acaso há algo que é necessário que se saiba.
5 Et quod paene praeterii, Bruti tui causa, ut saepe ad te scripsi, feci omnia.	Nessa carta estava aquilo mesmo que me escreveste a respeito de tua irmã.
Cyprii numerabant;	Vi o garoto extremamente perturbado;
sed Scaptius centesimis renouato in singulos annos faenore contentus non fuit.	lamentou-se comigo chorando.
Ariobarzanes non in Pompeium prolixior per ipsum quam per me in Brutum.	O que queres?
Quem tamen ego praestare non poteram;	Notei nele um admirável carinho, doçura e delicadeza;
erat enim rex perpauper aberamque ab eo ita longe ut nihil possem nisi litteris, quibus pugnare non destiti.	por isso tenho a maior esperança de que não será nada diferente do que convém.
Summa haec est:	Quis, portanto, que tu soubesses isso.
pro ratione pecuniae liberalius est Brutus tractatus quam Pompeius.	9 Nem mesmo o seguinte eu vou deixar passar:
Bruto curata hoc anno talenta circiter C, Pompeio in sex mensibus promissa CC.	Hortênsio filho se comportou nos jogos de gladiadores em Laodicéia de modo escandaloso e vergonhoso Por causa de seu pai o convidei para jantar no dia em que chegou, e por causa do mesmo pai nada mais.
Iam in Appi negotio quantum tribuerim Bruto dici uix potest.	Ele me disse que me esperaria em Atenas para ir embora comigo.
Quid est igitur quod laborem?	“Tudo bem” eu digo;
Amicos habet meras nugas, Matinium, Scaptium;	pois o que eu ia dizer?
qui quia non habuit a me turmas equitum quibus Cyprum uexaret, ut ante me fecerat, fortasse suscenset, aut quia praefectus non est, quod ego nemini tribui negotiatori (non C.	Acho que não significa absolutamente nada o que ele disse;
Vennonio, meo familiari, non tuo, M.	Na verdade, não quero, para não ofender seu pai, a quem, por hércules, muito estimo.
Laenio), et quod tibi Romae ostenderam me seruaturum;	Mas se ele for meu companheiro, vou agir moderadamente a ponto de não ofender aquele que de modo algum quero.
in quo perseueraui.	10 Estas são as coisas.
Sed quid poterit queri is qui auferre pecuniam cum posset noluit?	Mais isso:
†Aut Scaptius† qui in Cappadocia fuit puto esse satis factum.	gostaria que me enviasses o discurso de Quinto Céler contra Marco Servílio.
Is a me tribunatum cum accepisset, quem ego ex Bruti litteris ei detulissem, postea scripsit ad me se uti nolle eo tribunatu.	Mande um carta o mais breve possível;
6 Gauius est quidam, cui cum praefecturam detulissem Bruti rogatu multa et dixit et fecit cum quadam mea contumelia, P.	se não houver nada, escreve isso mesmo, que não há nada, até mesmo por meio de teu carteiro.
Clodi canis.	Diz saúde para Pília e para tua filha.
Is me nec proficiscentem Apamea prosecutus est nec, cum postea in castra uenisset atque inde discederet, num quid uellem rogauit et fuit aperte mihi nescio qua re non amicus.	Cuida para que fiques bem.
Hunc ego si in praefectis habuissem, quem tu me hominem putares?	4 Cícero saúda Ático.
Qui, ut scis, potentissimorum hominum contumaciam numquam tulerim, ferrem huius adseculae?	1 Cheguei em Tarso nas nonas de junho [5 de junho] Ali muitas coisas me perturbaram:
Etsi hoc plus est quam ferre, tribuere etiam aliquid benefici et honoris.	a grande guerra na Síria, grandes roubos na Cilícia, um modo difícil para mim de administrar, porque eu tinha poucos dias restantes de meu cargo anual, e o mais difícil, por um decreto do senado, era preciso deixar alguém que ficasse à frente da província.
Is igitur Gauius, cum Apameae me nuper uidisset Romam proficiscens, me ita appellauit ut Culleolum uix auderem:	Nada pode ser menos admissível do que o questor Mescínio.
“Vnde” inquit “me iubes petere cibaria praefecti?”	Já acerca de Célio nada ouvimos.
Respondi lenius quam putabant oportuisse qui aderant, me non instituisse iis dare cibaria quorum opera non essem usus.	Me parece o mais certo deixar meu irmão Quinto com o comando;
Abiit iratus.	nisso há muitos incômodos, a nossa separação, o perigo da guerra, a má qualidade dos soldados, além de outros seiscentos problemas.
7 Huius nebulonis oratione si Brutus moueri potest, licebit eum solus ames, me aemulum non habebis.	Ó coisa inteira odiosa!
Sed illum eum futurum esse puto qui esse debet;	Mas isso a fortuna verá, já que não há muita possibilidade de lançar mão de conselho.
tibi tamen causam notam esse uolui et ad ipsum haec perscripsi diligentissime.	2 Tu, visto que (como espero) chegaste em Roma são e salvo, olharás, como costumas, tudo o que entendes ser do meu interesse, sobretudo em relação à minha Túlia, sobre cujo casamento escrevi para Terência o que me agradava, enquanto tu estavas na Grécia;
Omnino (soli enim sumus) nullas umquam ad me litteras misit Brutus, ne proxime quidem de Appio, in quibus non inesset adrogans et ἀκοινονόητον aliquid.	depois acerca de minha honraria.
Tibi autem ualde solet in ore esse:	Pois uma vez que tu estiveste ausente, receio que não se tratou de minha carta de um modo suficientemente atento.
“Granius autem non contemnere se et reges odisse superbos.”	3 Além do mais, vou te escrever com o maior mistério, tu sagazmente sentirás o cheiro.
In quo tamen ille mihi risum magis quam stomachum mouere solet;	Não posso escrever tudo que temo;
sed plane parum cogitat quid scribat aut ad quem.	Tu, porém, faze com que uma carta tua voe ao meu encontro.
8 Q.	Estas coisas eu escrevi às pressas em viagem e com o exército.
Cicero puer legit, ut opinor, et certe, epistulam inscriptam patri suo;	Manda saúde a Pília e à belíssima menina Cecília.
solet enim aperire, idque de meo consilio, si quid forte sit quod opus sit sciri.	5 Cícero saúda Ático.
In ea autem epistula erat idem illud de sorore quod ad me.	1 Agora com toda certeza estás em Roma, aonde me alegro de teres são e salvo, se é assim;
Mirifice conturbatum uidi puerum;	por todo o tempo que estiveste afastado daí, parecias estar mais afastado de mim do que se estivesses em casa.
lacrimans mecum est questus.	Pois me eram menos conhecidos os meus assuntos, menos também os públicos.
Quid quaeris?	Por isso eu gostaria, ainda que (como espero), quando estiveres lendo esta, já terei avançado um bom tanto do caminho, que mesmo assim mandasses com frequência ao meu encontro cartas o mais minuciosas possível sobre todos os assuntos, principalmente sobre o que te escrevi anteriormente.
Miram in eo pietatem, suauitatem humanitatemque perspexi;	2 Investiga isso, como costumas, e mais isto:
quo maiorem spem habeo nihil fore aliter ac deceat.	.
Id te igitur scire uolui.	.
9 Ne illud quidem praetermittam:	.
Hortensius filius fuit Laodiceae gladiatoribus, flagitiose et turpiter.	e me censurou com o velho provérbio.
Hunc ego patris causa uocaui ad cenam quo die uenit, et eiusdem patris causa nihil amplius.	.
Is mihi dixit se Athenis me exspectaturum ut mecum decederet.	.
“Recte” inquam;	3 Vê o restante e examina com atenção o que pode ser feito.
quid enim dicerem?	Nós, embora tenhamos já quase acabado o nosso tempo (pois restam 33 dias), somos, contudo, sobremaneira assolados pela preocupação com a província.
Omnino puto nihil esse quod dixit;	Pois embora a Síria ardesse em guerra e Bíbulo, em meio de sua tão grande dor, tomasse a seu cargo o maior peso da guerra, e seus legados e seu questor e seus amigos me enviassem carta para que eu viesse em sua ajuda, ainda que eu tivesse um fraco exército, mas tropas auxiliares bastante boas de gálatas, písídas, lícios (pois estes são as nossas forças), mesmo assim considerei ser o meu dever ter o exército o mais próximos possível do inimigo enquanto me fosse permitido estar à frente da província pelo decreto do senado.
nolo quidem, ne offendam patrem, quem mehercule multum diligo.	Mas aquilo com que eu mais me comprazia é que Bíbulo não estava aborrecido comigo, me escrevia de preferência sobre todos os assuntos.
Sin fuerit meus comes, moderabor ita ne quid eum offendam quem minime uolo.	E o dia da partida chega para mim imperceptivelmente.
10 Haec sunt.	E quando este chegar, outro problema, a quem porei no comando, se o questor Caldo não chegar;
Etiam illud:	a respeito dele não tínhamos até o momento nada de certo.
orationem Q.	4 Eu desejava, por hércules, compor uma carta mais longa, mas nem havia assunto sobre o qual escrever nem eu podia joguetear por causa de minha preocupação.
Celeris mihi uelim mittas contra M.	Ficarás bem, portanto, e dizes saúde à tua garota Atícula e à nossa Pília.
Seruilium.	6 Cícero saúda Ático.
Litteras mitte quam primum;	1 Enquanto eu em mnha província honro Ápio por todas as coisas, de repente me tornei sogro de seu acusador.
si nihil erit, id ipsum scribes, nihil fieri, uel per tuum tabellarium.	“Que os deuses realmente favoreçam isso!”
Piliae et filiae salutem.	dizes.
Cura ut ualeas.	Eu queria assim e sei com certeza que tu desejas assim.
4 Cicero Attico sal.	Mas acredita em mim, era a última coisa que eu achava, eu, que tinha enviado às mulheres [Terência e Túlia] pessoas de confiança a respeito de Tibério Nerão, que tinha tratado comigo;
1 Tarsum ueni Non.	que chegaram em Roma, depois de realizados os esponsais.
Iun.	Mas espere que isso seja o melhor.
Ibi me multa mouerunt:	Entendo que realmente as mulheres muito se deleitam com a cortesia e amabilidade do jovem.
magnum in Syria bellum, magna in Cilicia latrocinia, mihi difficilis ratio administrandi, quod paucos dies habebam reliquos annui muneris, illud autem difficillimum, relinquendus erat ex senatus consulto qui praeesset.	Quanto ao resto, não arranques os espinhos”.
Nihil minus probari poterat quam quaestor Mescinius.	2 Mas olha, trigo para o povo em Atenas?
Nam de Coelio nihil audiebamus.	Isso te agrada?
Rectissimum uidebatur Quintum fratrem cum imperio relinquere;	Ainda que certamente meus livros não impediam;
in quo multa molesta, discessus noster, belli periculum, militum improbitas, sescenta praeterea.	pois essa não foi uma generosidade para os cidadãos, mas uma liberalidade para os forasteiros.
O rem totam odiosam!	Contudo, me mandas pensar a respeito do pórtico da Academia, visto que Ápio já não pensa no de Elêusis?
Sed haec fortuna uiderit, quoniam consilio non multum uti licet.	Sei com certeza que tu sofres no que concerne a Hortênsio.
2 Tu quando Romam saluus (ut spero) uenisti, uidebis, ut soles, omnia quae intelleges nostra interesse, in primis de Tullia mea, cuius de condicione quid mihi placeret scripsi ad Terentiam cum tu in Graecia esses;	Eu certamente fico angustiado;
deinde de honore nostro.	pois eu tinha decidido viver na maior amizade com ele.
Quod enim tu afuisti, uereor ut satis diligenter actum in senatu sit de litteris meis.	3 Nós pusemos Célio à frente da província.
3 Illud praeterea μυστικώτερον ad te scribam, tu sagacius odorabere.	“Um menino” dirás “e talvez tolo e não sério e não controlado.”
τῆς δάμαρτός μου ὁ ἀπελεύθερος (οἶσθα ὃν λέγω) ἔδοξέ μοι πρώην, ἐξ ὧν ἀλογευόμενος παρεφθέγγετο, πεφυρακέναι τὰς ψήφους ἐκ τῆς ὠνῆς τῶν ὑπαρχόντων τῶν τοῦ Κροτωνιάτου τυραννοκτόνου.	Concordo;
δέδοικα δὴ μή τι - νοήσεις δήπου.	não se pôde fazer de outro modo.
τοῦτο δὴ περισκεψάμενος τὰ λοιπὰ ἐξασφάλισαι.	Pois a carta tua que eu tinha recebido muito antes, na qual tinhas escrito que não tinhas opinião formada sobre o que eu devia fazer acerca de minha sucessão, me atormentava.
Non queo tantum quantum uereor scribere;	Pois eu via quais eram os motivos de tua dúvida, e eram os mesmos para mim.
tu autem fac ut mihi tuae litterae uolent obuiae.	A confiaria a um menino?
Haec festinans scripsi in itinere atque agmine.	Isso não seria útil para a república.
Piliae et puellae Caeciliae bellissimae salutem dices.	Ao meu irmão?
5 Cicero Attico sal.	Aquilo não seria útil a nós.
1 Nunc quidem profecto Romae es, quo te, si ita est, saluum uenisse gaudeo;	Pois além de meu irmão não havia ninguém que eu anteporia, sem ultrae, ao meu questor, especialmente nobre.
unde quidem quam diu afuisti, magis a me abesse uidebare quam si domi esses.	Contudo, enquanto os partos pareciam ameaçar, eu tinha decidido deixar meu irmão, ou ainda eu próprio por causa da república permanecer contra o decreto do senado;
Minus enim mihi meae notae res erant, minus etiam publicae.	depois que eles, por incrível felicidade, se retiraram, minha dúvida foi desfeita.
Qua re uelim, etsi (ut spero) te haec legente aliquantum iam uiae processero, tamen obuias mihi litteras quam argutissimas de omnibus rebus crebro mittas, in primis de quo scripsi ad te antea.	Eu via os falatórios:
τῆς ξυναόρου τῆς ἐμῆς οὑξελεύθερος ἔδοξέ μοι θαμὰ βατταρίζων καὶ ἀλύων ἐν τοῖς ξυλλόγοις καὶ ταῖς λέσχαις ὑπό τι πεφυρακέναι τὰς ψήφους ἐν τοῖς ὑπάρχουσιν τοῖς τοῦ Κροτωνιάτου.	“Ah, deixou o irmão!
2 Hoc tu indaga, ut soles, at hoc magis:	Acaso isto não é ter a província por mais de um ano?
ἐξ ἄστεως ἑπταλόφου στείχων παρέδωκεν μνῶν †καμν† ὀφείλημα τῷ Καμίλλῳ, ἑαυτόν τε ὀφείλοντα μνᾶς κδ′ ἐκ τῶν Κροτωνιατικῶν καὶ ἐκ τῶν Χερρονησιτικῶν μη′ καὶ μνᾶς κληρονομῆσαι χμ′ [κμ].	O que o senado quer é que que estejam no comando das províncias os que não estiveram antes?
τούτων δὲ μηδὲ ὀβολὸν διευλυτῆσθαι, πάντων ὀφειληθέντων τοῦ δευτέρου μηνὸς τῇ νουμηνίᾳ.	Mas este por três anos.”
τὸν δὲ ἀπελεύθερον αὐτοῦ, ὄντα ὁμώνυμον τῷ Κόνωνος πατρί, μηδὲν ὁλοσχερῶς πεφροντικέναι.	4 Isto, portanto, para o povo:
ταῦτα οὖν πρῶτον μὲν ἵνα πάντα σῴζηται, δεύτερον δὲ ἵνα μηδὲ τῶν τόκων ὀλιγωρήσῃς τῶν ἀπὸ τῆς προεκκειμένης ἡμέρας.	e contigo?
ὅσας αὐτοῦ ἠνέγκαμεν σφόδρα δέδοικα· καὶ γὰρ παρῆν πρὸς ἡμᾶς κατασκεψόμενος καί τι σχεδὸν ἐλπίσας· ἀπογνοὺς δ' ἀλόγως ἀπῆλθεν ἐπειπών 'εἴκω·“αἰσχρόν τοι δηρόν τε μένειν.	Eu nunca estaria sem preocupação, se houvesse algo com mais ira ou com mais ofensa ou com mais negligência, coisas que a vida dos homens traz.
.	E se fosse o filho dele, um menino, e um menino bem confiante em si mesmo?
.”	Que dor seria?
, meque obiurgauit uetere prouerbio 'τὰ μὲν διδόμενα .	Seu pai não o deixaria ir e se indignaria de que pensasses isso.
.	Mas agora Célio, não digo “o que fêz”, mas mesmo assim sofro muito menos.
.”	Acrescenta isto:
.	Pompeu, um homem com essa força, com essas raízes, escolheu Quinto Cássio sem sorteio, César escolheu Antônio:
3 Reliqua uide et quantum fieri potest perspice.	iria eu ofender a quem tinha sido entregue a mim por sorteio para que ele espionasse aquele que eu tivesse deixado?
Nos etsi annuum tempus [est] prope iam emeritum habebamus (dies enim XXXIII erant reliqui), sollicitudine prouinciae tamen uel maxime urgebamur.	Isto é melhor e há muitos exemplos disso, sem dúvida, na verdade, o mais adequado para a nossa velhice.
Cum enim arderet Syria bello et Bibulus in tanto maerore suo maximam curam belli sustineret ad meque legati eius et quaestor et amici eius litteras mitterent ut subsidio uenirem, etsi exercitum infirmum habebam, auxilia sane bona sed ea Galatarum, Pisidarum, Lyciorum (haec enim sunt nostra robora), tamen esse officium meum putaui exercitum habere quam proxime hostem quoad mihi praeesse prouinciae per senatus consultum liceret.	Em que grande harmonia te pus com ele, bons deuses!
Sed quo ego maxime delectabar, Bibulus molestus mihi non erat, de omnibus rebus scribebat ad me potius.	Li para ele a carta não tua, mas de teu secretário.
Et mihi decessionis dies λεληθότως obrepebat.	As cartas de meus amigos me convocam ao triunfo, uma coisa que, segundo eu julgo, não deve ser negligenciada por nós por causa desse nosso renascimento.
Qui cum aduenerit, ἄλλο πρόβλημα, quem praeficiam, nisi Caldus quaestor uenerit;	Por isso, tu também, meu querido Ático, começa a desejar isso, para que eu pareça menos tolo.
de quo adhuc nihil certi habebamus.	7 Cícero saúda Ático.
4 Cupiebam mehercule longiorem epistulam facere, sed nec erat res de qua scriberem nec iocari prae cura poteram.	1 Quinto filho sem dúvida com seu amor filial (tendo eu certamente, na verdade, o exortado muito, mas ele foi rápido) reconciliou o espírito de seu pai com a tua irmã.
Valebis igitur et puellae salutem Atticulae tuae dices nostraeque Piliae.	Tua carta também o animou muito.
6 Cicero Attico sal.	Que queres?
1 Ego dum in prouincia omnibus rebus Appium orno, subito sum factus accusatoris eius socer.	Confio que a coisa está como queremos.
“Id quidem” inquis “di adprobent!”	Escrevi antes duas vezes sobre um assunto meu privado em grego, em enigmas, se é que as cartas te foram entregues.
.	Evidentemente nada deve ser mexido;
Ita uelim, teque ita cupere certo scio.	mas perguntando simplesmente sobre os títulos de Milão e exortando-o a que desembarace como me prometu, conseguirás algo ou, ao menos, averiguarás.
Sed crede mihi, nihil minus putaram ego, qui de Ti.	2 Eu ordenei que o questor Mescínio esperasse em Laodicéia, para que eu possa deixar terminadas as contas, segundo a lei Júlia, nas duas cidades.
Nerone, qui mecum egerat, certos homines ad mulieres miseram;	Quero ir para Rodes por causa dos meninos, de lá o quanto antes para Atenas, ainda que os ventos etésios soprem fortemente contra;
qui Romam uenerunt factis sponsalibus.	mas claramente quero isso com esses magistrados, cuja boa vontade constatei nas preces públicas.
Sed hoc spero melius.	Tu, contudo, manda, peço-te, uma carta ao meu encontro, se por acaso julgas que em nome da república eu devo retardar-me.
Mulieres quidem ualde intellego delectari obsequio et comitate adulescentis.	Tirão teria entregado uma carta a ti, se eu não o tivesse deixado em Isso gravemente doente;
Cetera noli ἐξακανθίζειν.	mas me anunciam que está melhor.
2 Sed heus tu, πυροὺς εἰς δῆμον Athenis?	Eu, contudo, me angustio;
Placet hoc tibi?	pois não há mais puro, nada mais diligente do que aquele jovem.
Etsi non impediebant mei certe libri;	8 Cícero saúda Ático.
non enim ista largitio fuit in ciuis sed in hospites liberalitas.	1 Quando eu tinha decidido te escrever e tinha pegado o cálamo, chegou Batônio diretamente do navio até minha casa em Éfeso e me entregou tua carta do segundo dia antes das calendas de outubro [30 de setembro] Alegrei-me com felicidade de tua travessia, com o oportuno encontro com Pília, e também, por hércules, com a fala dela sobre o casamento de minha Túlia.
Me tamen de Academiae προπύλῳ iubes cogitare, cum iam Appius de Eleusine non cogitet?	2 Batônio, porém, me trouxe verdadeiros terrores cesarianos, falou com Lepta ainda mais coisas, espero que falsas, mas certamente terríveis:
De Hortensio te certo scio dolere.	que ele não vai de modo algum dispensar o exército, que estão com ele três pretores designados, o tribuno da plebe Cássio e o cônsul Lêntulo, que Pompeu tem em mente abandonar a cidade.
Equidem excrucior;	3 Mas olha, por acaso não estás indignado a respeito daquele que costuma se antepor ao tio do filho de tua irmã?
decreram enim ualde cum eo familiariter uiuere.	E por quem é vencido!
3 Nos prouinciae praefecimus Coelium.	4 Mas vamos ao assuto.
“Puerum” inquies “et fortasse fatuum et non grauem et non continentem.”	Violentíssimos ventos etésios nos retardaram;
Adsentior;	o barco descoberto me fez perder 20 dias exatos em Rodes.
fieri non potuit aliter.	Nas calendas de outubro, embarcando em Éfeso, entregamos esta carta a Lúcio Tarquício, saindo do porto ao mesmo tempo, mas navegando mais rapidamente.
Nam quas multo ante tuas acceperam litteras in quibus ἐπέχειν te scripseras quid esset mihi faciendum de relinquendo, eae me pungebant.	Nós, com os barcos descobertos dos ródios e com as demais naus de forma longa, estávamos à espreita de bonança;
Videbam enim quae tibi essent ἐποχῆς causae, et erant eaedem mihi.	contudo, nos apressávamos de tal modo que mais não era possível.
Puero traderem?	5 Quanto à dividazinha da chácara de Putéolos, agradecido.
Id rei publicae non utile.	Agora eu queria que observes os assuntos romanos, que vejas o que achas que devemos pensar a respeito do triunfo ao qual meus amigos convidam.
Fratri autem?	Eu, se Bíbulo, que, enquanto houve um único inimigo na Síria, não pôs o pé fora da porta, quando cônsul, fora de sua casa, não se esforçasse por seu triunfo, eu estaria tranquilo;
Illud non utile nobis.	mas agora “é uma vergonha calar” Mas examina a coisa toda, para que, no dia em que nos reunirmos, possamos tomar uma decisão.
Nam praeter fratrem nemo erat quem sine contumelia quaestori, nobili praesertim, anteferrem.	Isso é suficiente, porque tenho pressa e entrego esta carta a alguém que vai chegar ou junto comigo ou um pouco antes.
Tamen, dum impendere Parthi uidebantur, statueram fratrem relinquere, aut etiam rei publicae causa contra senatus consultum ipse remanere;	Cícero te manda muita saúde, tu a mandarás da parte de nós dois tanto à tua Pília como à tua filha.
qui postea quam incredibili felicitate discesserunt, sublata dubitatio est.	9 Cícero saúda Ático.
Videbam sermones:	1 Assim que desembarquei no Pireu, na véspera dos idos de outubro [14 de outubro], recebi de imediato de meu escravo Acasto a tua carta.
“Hui, fratrem reliquit!	Como, na verdade, eu já a esperasse há muito tempo, fiquei admirado quando vi a carta ainda fechada, a brevidade dela, quando abri, igualmente a irregularidade de suas letrinhas e as tuas costumam ser muito cuidadas e muito claras e, para não me alongar, pelo fato de teres escrito assim, soube que tinhas chegado a Roma no décimo segundo dia antes das calendas de outubro [19 de setembro] com febre.
Num est hoc non plus annum obtinere prouinciam?	Fortemente afetado, não mais do que devia, pergunto logo em seguida a Acasto.
Quid quod senatus eos uoluit praeesse prouinciis qui non praefuissent?	Ele [disse] que a ti e ele próprio pareceu e assim ouviu dos teus em casa que não era nada preocupante.
At hic triennium.”	Parecia aprovar isso o que estava no fim, que escreveste então tendo uma febrícula.
4 Ergo haec ad populum:	Contudo apreciei e fiquei contente por teres mesmo assim me escrito com tua própria mão.
quid quae tecum?	Por isso basta disso;
Numquam essem sine cura, si quid iracundius aut contumeliosius aut neglegentius, quae fert uita hominum.	pois espero, o que é tua prudência e moderação, e, por hércules, conforme me aconselha Acasto, confio que logo estarás bom como desejamos.
Quid si quid filius puer et puer bene sibi fidens?	2 Fico contente que tenhas recebido minha carta das mãos de Turrânio.
Qui esset dolor Quem pater non dimittebat teque id censere moleste ferebat.	(.
At nunc Coelius non dico equidem “quod egerit”, sed tamen multo minus laboro.	.
Adde illud.	.
Pompeius, eo robore uir, iis radicibus, Q.	) se me amas, (.
Cassium sine sorte delegit, Caesar Antonium:	.
ego sorte datum offenderem, ut etiam inquireret in eum quem reliquissem?	.
Hoc melius, et huius rei plura exempla, senectuti quidem nostrae profecto aptius.	) cuida da herança de Precio, por perquena que seja, a qual, por hércules, me causa grande dor (pois eu estimei o homem);
At te apud eum, di boni, quanta in gratia posui!	que ele não a toque.
Eique legi litteras non tuas sed librari tui.	Dirás que tenho necessidade de dinheiro para o aparato do triunfo;
Amicorum litterae me ad triumphum uocant, rem a nobis, ut ego arbitror, propter hanc παλιγγενεσίαν nostram non neglegendam.	nele, de acordo com teus preceitos, não me reconhecerás como vaidoso ao solicitá-lo nem modesto ao rechaçá-lo.
Qua re tu quoque, mi Attice, incipe id cupere, quo nos minus inepti uideamur.	3 Entendi por tua carta que ouviste de Turrânio que a província foi entregue por mim a meu irmão.
7 Cicero Attico sal.	A tal ponto eu não ia notar a prudência de tua carta?
1 Quintus filius pie sane (me quidem certe multum hortante, sed currentem) animum patris sui sorori tuae reconciliauit.	(.
Eum ualde etiam tuae litterae excitarunt.	.
Quid quaeris?	.
Confido rem ut uolumus esse.	) escrevias;
Bis ad te antea scripsi de re mea familiari, si modo tibi redditae litterae sunt, Graece ἐν αἰνιγμοῖς.	o que era digno de dúvida, se havia por que agradava que um irmão e um irmão como o meu fosse deixado no cargo?
